sector,sheet_name,name,importance,description,related_stocks,note
반도체,총수출,반도체 총 수출,3,전체 수출 총량,시장 전체,매크로 방향성
반도체,디램,DRAM,3,DRAM 수출 YoY+판가,"삼성전자,SK하이닉스",메모리 사이클 핵심
반도체,낸드,NAND,3,NAND 수출 YoY,"삼성전자,SK하이닉스",낸드 수급 확인
반도체,HBM,HBM,3,HBM 수출 YoY,"SK하이닉스, 삼성전자, 한미반도체",AI 반도체 핵심 지표
반도체,반도체장비수입,반도체 장비수입,2,반도체 장비 수입 (선행지표),"원익IPS,ASML코리아",투자 선행지표
반도체,pcb,PCB,2,PCB 수출,"이수페타시스,코리아써키트",기판 섹터
반도체,CCL,CCL,1,CCL 수출,"두산, SKC",기판 원재료
반도체,포토레지스트,포토레지스트,1,포토레지스트 수출,동진쎄미켐,공정소재
반도체,블랭크마스크,블랭크마스크,1,블랭크마스크 수출,에스앤에스텍,마스크 소재
반도체,EMC(HBM소재) 일본,EMC (HBM소재),1,HBM 봉지재 수출 일본,한미반도체,HBM 소재
반도체,반도체검사장비,반도체 검사장비,1,반도체 검사장비,"리노공업,오킨스",테스트
반도체,mlcc,MLCC,2,MLCC 수출,삼성전기,전자부품
반도체,리드프레임,리드프레임,1,리드프레임,해성디에스,패키징
반도체,다층세라믹기판,다층세라믹기판,1,다층세라믹기판,대덕전자,기판
반도체,PROBE CARD,PROBE CARD,1,프로브카드,"ISC, 티에스이, 마이크로컨텍솔",테스트
이차전지,양극재(NCM+NCA),양극재 (NCM+NCA),3,NCM+NCA 양극재 합산,"에코프로비엠,엘앤에프",배터리 핵심소재
이차전지,리튬전지,리튬전지,3,리튬전지 수출 전체,"삼성SDI, LG에너지솔루션, SK온",배터리 전체
이차전지,ess 미국,ESS (미국),3,대미 ESS 수출 (미국이 핵심),"삼성SDI,LG에너지솔루션",ESS 모멘텀
이차전지,동박,동박,1,동박 수출,"SKC, 롯데에너지머티리얼즈",음극 소재
이차전지,전구체 수출,전구체 수출량,1,전구체 수출,에코프로,양극재 전단계
이차전지,양극재(NCM 전구체수입),양극재 (NCM 전구체 수입량),1,NCM 전구체 수입,에코프로,원재료 수입
이차전지,탄산리튬(수입),탄산리튬 (수입량),2,탄산리튬 수입,,리튬 가격 연동
