Sector,ETFName,Code,Close,Return_20(%),Return_60(%),Return_120(%),RS_20(%p),RS_60(%p),RS_120(%p),RS5_bps,RS20_bps,Acceleration(bps/day),TrendQuality,Vol_20(ann%),AvgTradingValue(억원),Eligible,Quadrant,RS_20_Z,RS_60_Z,RS_120_Z,TrendQuality_Z,Acceleration_Z,MomentumScore,Rank
반도체,KODEX 반도체,091160,158600.0,10.36,61.18,171.99,-2.01,5.94,51.28,81.96,-9.01,90.98,15.63,83.1,10794.2,True,회복 후보,1.7274,2.3296,2.0554,2.6833,-0.2289,1.8749,1.0
코스피200,KODEX 200,069500,130130.0,12.37,55.24,120.72,0.0,0.0,0.0,0.0,0.0,0.0,14.41,70.87,29640.91,True,리더,1.8765,2.2634,1.9874,2.6253,-1.1785,1.7967,2.0
자동차,SOL 자동차 TOP3 플러스,466930,36070.0,30.9,69.03,132.56,18.54,13.79,11.84,-152.6,76.35,-228.95,15.46,94.92,850.4,True,강세 둔화,2.0106,2.3296,2.0554,2.6833,-2.0782,1.7891,3.0
반도체 전공정,SOL 반도체 전공정,475300,23915.0,5.91,33.16,111.17,-6.45,-22.08,-9.55,341.17,-29.57,370.74,2.75,127.69,227.75,True,회복 후보,1.3979,1.2797,1.7679,0.0477,1.8362,1.2651,4.0
보험,KODEX 보험,140700,19865.0,19.6,23.5,59.24,7.23,-31.74,-61.48,257.72,31.19,226.54,2.25,57.42,62.19,True,리더,2.0106,0.8493,0.5746,-0.0629,1.186,1.1114,5.0
나스닥,NASDAQ Composite,IXIC,26108.544921875,-0.53,15.03,11.08,-12.89,-41.94,-116.87,92.48,-60.94,153.42,8.57,19.86,2538270.07,True,회복 후보,0.9201,0.3948,-0.6982,1.3342,0.4228,0.5584,6.0
S&P500,S&P 500 Index,S&P500,7453.56005859375,0.74,9.91,8.7,-11.63,-47.06,-119.24,127.14,-54.61,181.76,7.37,12.75,403324.54,True,회복 후보,1.0136,0.1667,-0.7527,1.069,0.7186,0.5157,7.0
로봇,KODEX 로봇액티브,445290,39790.0,2.82,19.24,57.77,-9.55,-36.0,-62.94,-302.53,-44.4,-258.13,3.6,92.18,1738.3,True,약세 지속,1.1679,0.6595,0.5411,0.2356,-2.0782,0.4823,8.0
전력설비,KODEX AI전력핵심설비,487240,42850.0,-32.72,39.01,75.11,-45.08,-16.23,-45.6,-149.38,-256.41,107.04,11.95,75.12,4626.94,True,회복 후보,-1.2274,1.5403,0.9395,2.0814,-0.0613,0.4025,9.0
반도체 소부장,SOL AI 반도체 소부장,455850,28615.0,-12.39,9.13,65.26,-24.75,-46.11,-55.46,149.34,-124.4,273.74,0.75,98.29,972.77,True,회복 후보,0.0401,0.209,0.713,-0.3945,1.6786,0.2819,10.0
은행,KODEX 은행,091170,15200.0,-3.58,0.4,20.75,-15.95,-54.84,-99.97,257.58,-76.54,334.12,0.0,46.71,279.93,True,회복 후보,0.693,-0.1799,-0.3099,-0.5603,1.8362,0.2507,11.0
반도체 후공정,SOL 반도체 후공정,475310,31500.0,-12.68,6.8,71.01,-25.05,-48.44,-49.71,48.31,-126.1,174.41,0.45,93.09,96.07,True,회복 후보,0.0178,0.1052,0.8451,-0.4608,0.6419,0.1544,12.0
지주사,TIGER 지주회사,307520,23535.0,-12.26,17.44,42.55,-24.63,-37.8,-78.17,-133.68,-123.71,-9.96,4.16,61.23,236.41,True,약세 지속,0.049,0.5793,0.1911,0.3594,-1.2824,0.1163,13.0
인터넷,Tiger 인터넷 top10,365000,4935.0,0.2,-0.8,3.03,-12.16,-56.04,-117.69,59.51,-57.28,116.79,0.0,39.54,32.18,True,회복 후보,0.9742,-0.2334,-0.717,-0.5603,0.0405,0.0951,14.0
건설,TIGER 200 건설,139220,8205.0,-22.59,16.22,70.4,-34.96,-39.02,-50.31,-23.35,-186.35,162.99,0.66,70.44,210.25,True,회복 후보,-0.7175,0.5249,0.8313,-0.4144,0.5227,-0.0051,15.0
게임,TIGER TOP10 게임,364990,5270.0,-5.81,-1.22,3.43,-18.17,-56.46,-117.28,42.79,-88.21,131.0,0.01,49.31,27.53,True,회복 후보,0.5283,-0.2521,-0.7076,-0.5581,0.1888,-0.0491,16.0
에너지 화학,TIGER 200 에너지화학,139250,18325.0,-14.33,5.96,26.25,-26.69,-49.28,-94.47,-35.7,-135.62,99.92,2.51,51.65,27.88,True,회복 후보,-0.1039,0.0678,-0.1835,-0.0054,-0.1356,-0.0613,17.0
화장품,TIGER 화장품,228790,3390.0,-14.82,1.19,-0.15,-27.19,-54.05,-120.86,85.11,-138.52,223.63,0.02,48.64,135.76,True,회복 후보,-0.141,-0.1447,-0.7899,-0.5559,1.1556,-0.1718,18.0
친환경,PLUS 태양광&ESS,457990,37860.0,-26.25,19.9,65.76,-38.61,-35.34,-54.95,-249.15,-210.53,-38.62,2.58,81.94,233.79,True,약세 지속,-0.9883,0.6889,0.7247,0.0101,-1.5816,-0.2216,19.0
증권,TIGER 증권,102970,23910.0,-24.18,-12.96,58.24,-36.54,-68.2,-62.48,-8.08,-196.69,188.61,0.0,65.8,1136.79,True,회복 후보,-0.8347,-0.7751,0.5516,-0.5603,0.7901,-0.4082,20.0
원자력2,TIGER 코리아원자력,0091P0,18355.0,-29.62,-6.4,68.16,-41.99,-61.64,-52.55,-73.45,-233.92,160.47,-0.0,64.27,748.69,True,회복 후보,-1.2274,-0.4829,0.7798,-0.5603,0.4964,-0.4678,21.0
